pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.12163069999951404,,0.0561844000039855,0.12163069999951404,1.0028771000070265,1.0028771000070265,1.0028771000070265,1.0028771000070265,1.134282600003644,2.000796399996034,2.000796399996034,11.67123380000703,x,1,9.652147400003741,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,0,1,1,1,,,,,11.685803700005636,,11.673684800000046,11.685803700005636,12.687014299997827,12.687014299997827,12.687014299997827,12.687014299997827,12.687014299997827,13.687287499997183,13.687287499997183,15.175385700000334,v,1,1.472882700007176,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,0,2,2,2,,,,,15.188049500007764,,15.176480099995388,15.188049500007764,16.187768500007223,16.187768500007223,16.187768500007223,16.187768500007223,16.187768500007223,17.18739479999931,17.18739479999931,18.46006579999812,c,1,1.2603107999893837,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,0,3,3,3,,,,,18.471186900002067,,18.46124879999843,18.471186900002067,19.47126040000876,19.47126040000876,19.47126040000876,19.47126040000876,19.47126040000876,20.471465299997362,20.471465299997362,21.41294840000046,z,1,0.9371186000062153,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,1,0,4,0,,,,,21.42163480000454,,21.414303600002313,21.42163480000454,22.422377399998368,22.422377399998368,22.422377399998368,22.422377399998368,22.422377399998368,23.422081299999263,23.422081299999263,24.299215399994864,x,1,0.8565797999908682,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,1,1,5,1,,,,,24.323661100002937,,24.30147869999928,24.323661100002937,25.3059299000015,25.3059299000015,25.3059299000015,25.3059299000015,25.339869999996154,26.305982200006838,26.305982200006838,27.377664800005732,v,1,1.0645807000109926,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,1,2,6,2,,,,,27.389794600007008,,27.378853300004266,27.389794600007008,28.405309000008856,28.405309000008856,28.405309000008856,28.405309000008856,28.405309000008856,29.389849800005322,29.389849800005322,30.31299730000319,c,1,0.9134600999968825,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,1,3,7,3,,,,,30.323440000007395,,30.314162800001213,30.323440000007395,31.324134800001048,31.324134800001048,31.324134800001048,31.324134800001048,31.324134800001048,32.323982700007036,32.323982700007036,33.130705500007025,z,1,0.7977918999968097,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,2,0,8,0,,,,,33.14025389999733,,33.131995200004894,33.14025389999733,34.141002799995476,34.141002799995476,34.141002799995476,34.141002799995476,34.141002799995476,35.144038700003875,35.144038700003875,35.880686200005584,x,1,0.723561199993128,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,2,1,9,1,,,,,35.89188599999761,,35.882149400000344,35.89188599999761,36.89110019999498,36.89110019999498,36.89110019999498,36.89110019999498,36.89110019999498,37.89109240000835,37.89109240000835,39.09673730000213,v,1,1.2030177999986336,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
50,c,2,2,10,2,,,,,39.108312500000466,,39.09838540000783,39.108312500000466,40.10881890000019,40.10881890000019,40.10881890000019,40.10881890000019,40.10881890000019,41.108890600007726,41.108890600007726,42.39625150000211,c,1,1.2791478000144707,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-150,z,2,3,11,3,,,,,42.40918950000196,,42.39730470000359,42.40918950000196,43.409055900003295,43.409055900003295,43.409055900003295,43.409055900003295,43.409055900003295,44.409499900008086,44.409499900008086,45.198911400002544,z,1,0.772304099999019,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
-50,x,3,0,12,0,,,,,45.20991220000724,,45.20010960000218,45.20991220000724,46.21108770000865,46.21108770000865,46.21108770000865,46.21108770000865,46.21108770000865,47.20960529999866,47.20960529999866,48.03232019999996,x,1,0.8142389999993611,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
150,v,3,1,13,1,,,,,48.04398840000795,,48.03347389999544,48.04398840000795,49.043785200003185,49.043785200003185,49.043785200003185,49.043785200003185,49.043785200003185,50.04351430000679,50.04351430000679,51.132480100000976,v,1,1.0777681000035955,None,398324,001,2024-10-17_18h14.06.959,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 18h14.14.971627 +0530,
